site,EPS,BGNf,Hf,NDSI,rBA,ADI,AEI,pred,component1_prob,component2_prob,component3_prob,component4_prob
RZUA01,0.059851704130278696,-40.981600328568604,0.6850507148275675,0.8603874504867185,13.32536160063705,2.0785814194910452,0.022630328088666198,1,7.465867857054041e-11,0.9999999999253415,0.0,0.0
RZUA02,0.029937488697854647,-50.702226799795994,0.7812851854767585,0.3551517753162895,2.101800139704975,2.079114547339195,0.01446274914958235,3,0.0,1.7141131408047004e-15,0.0,0.9999999999999982
RZUA03a,0.0222190844340405,-35.1343488899764,0.777713906655905,0.288151964646432,1.80958842431393,2.07713347328332,0.038356136936426,3,0.0,5.533104277704097e-14,0.0,0.9999999999999449
RZUA03b,0.050461301442035256,-33.4363517716407,0.7608425539988795,0.7741855664714266,7.856886676081695,2.047844388638115,0.139373688292399,1,6.495266473480807e-181,1.0,0.0,2.0531494732046385e-136
RZUA04,0.0150396046800093,-45.1027898580811,0.749792977537893,0.188623646836491,1.46494736037366,2.07664424463347,0.0409675003787535,3,0.0,3.4429537929066427e-28,0.0,1.0
RZUA05,0.0483300996434405,-41.88427493546595,0.69756200799829,0.8409297380944745,11.5730866812294,2.07548882258852,0.04852684772523605,1,2.1160840499688567e-27,1.0,0.0,0.0
RZUA06,0.0363966800552483,-45.10160448170175,0.7218529396181885,0.821149448017537,10.18256977799925,2.07809060969364,0.02889115859657765,1,6.971127747598613e-52,1.0,0.0,3.37840054036499e-297
RZUA07,0.0693133576494878,-49.7824142089734,0.657622287072979,-0.220123690161332,0.639178073606249,2.04958472344551,0.132915654718092,3,0.0,4.356522308490998e-91,0.0,1.0
RZUA08,0.019269956979825753,-45.82124099306315,0.778243033805794,0.41812842567117003,2.437184644944095,2.0794297824061854,0.0025151422665132,3,0.0,1.6684916105120987e-09,0.0,0.9999999983315089
RZUA09,0.0404707950058215,-39.3388664086564,0.727235024326749,0.665217360804968,4.97402542978006,2.07068621805343,0.0718071098452591,1,0.0,1.0,0.0,2.6060936822400013e-28
RZUA10,0.0511365630358721,-38.1772222701637,0.627447853853854,0.925440906400732,25.8243604294518,2.07728669701579,0.0360794084239098,0,1.0,1.1133714590565123e-28,5.145472262455144e-67,0.0
RZUB01,0.0506844575842901,-40.3442453308679,0.668635080993404,0.936702818932825,30.5969837247173,2.07906951574782,0.014857466892418,0,1.0,9.539418084475043e-51,1.470462403356429e-31,0.0
RZUB02,0.03374624751771005,-48.5124694229859,0.6629566295513796,0.329045276119047,1.98784368472888,1.8587115271079901,0.356349008104466,3,0.0,0.0,0.0,1.0
RZUB03,0.0409317767770042,-44.04023048004065,0.679655127958815,0.881732425186934,15.91279852424475,2.078847348677815,0.01886958131231745,0,0.9981020697762346,0.0018979302237654377,0.0,0.0
RZUB04,0.0394750890075772,-41.0318876856242,0.721520478196525,0.890560741712253,17.2749776569338,2.07469620240738,0.0534991919552932,0,0.9999999693016322,3.0698367533218155e-08,0.0,0.0
RZUB05,0.0369968740328434,-39.7567310715196,0.647288243340423,0.931876904382779,28.3586188630924,2.07286549703683,0.0640622573395586,0,1.0,1.7411358277685666e-47,6.288969996515897e-29,0.0
RZUB06,0.173447146611381,-46.9637225379732,0.704469299985283,0.59214782600571,3.90373749982267,2.07238606582673,0.0659391146015962,3,0.0,1.1467023220178241e-22,0.0,1.0
RZUB07,0.026424543263740947,-35.76054710453135,0.7514735357861505,-0.2751741936948245,0.5684161469682505,2.06540106386237,0.0886532807809236,3,0.0,3.1962092501487593e-112,0.0,1.0
RZUB08,0.061479923103426495,-41.7971331455235,0.7163403353148414,0.6938989848580019,5.534083897058196,2.0581631881319797,0.11424600662015899,1,0.0,1.0,0.0,4.4808250562954536e-38
RZUB09,0.0625478096181565,-41.4601395932179,0.734754404478572,0.783369983848838,8.23233093702225,2.06113037293423,0.106506865052204,1,7.821885666141262e-152,1.0,0.0,1.1837342973239722e-149
RZUB10,0.01964256690428025,-49.52587143297495,0.879061378275884,0.28385528090094403,1.7958485790011451,2.079296076273585,0.009559767571433151,3,0.0,1.6933332023464216e-34,0.0,1.0
RZUB11,0.044609274710827054,-44.992934616786954,0.6778809864749404,0.801268025709623,9.064602287514724,2.073081925577755,0.06079819897371985,1,5.994921567711142e-100,1.0,0.0,6.381586994662889e-212
RZUC01,0.0454533759214438,-44.1321556851243,0.679194057525659,0.0398823568434872,1.08307806262651,2.012001590197,0.198524781094999,3,0.0,8.684997200129624e-39,0.0,1.0
RZUC02,0.014955912474413,-35.6369514319726,0.748253095252487,0.0137896264794387,1.02796487818357,2.07902488653294,0.015858192299629,3,0.0,1.530445143924874e-44,0.0,1.0
RZUC03,0.0497176240205678,-46.07403490242155,0.7087406790465465,0.6291810584559905,4.393467826760265,2.07676053467168,0.040619359314365694,1,0.0,1.0,0.0,3.5836155496699227e-16
RZUC05,0.06978673262534955,-42.09449660804425,0.6349491365553445,0.921294821937958,24.41144258538965,2.07810847602747,0.02802408559657925,0,1.0,2.1810392170861833e-21,8.635414781680904e-112,0.0
RZUC06,0.0344164287671822,-40.7590871068685,0.651530344031375,0.93031525404706,27.7006858193995,2.07823780059695,0.0271762891096312,0,1.0,3.448392085834437e-40,3.739510467168843e-40,0.0
RZUC07,0.0179522100506835,-41.7040467918872,0.684837928288007,0.789613695215192,8.5063222011798,2.07771606034345,0.0324086769521228,1,6.845596622738939e-129,1.0,0.0,1.5266951723649924e-187
RZUC08,0.0421700886945899,-45.4229351023167,0.705500428269921,0.299228847862011,1.85399876107654,2.06183930234796,0.103884305259009,3,0.0,4.156777293076344e-14,0.0,0.9999999999999583
RZUC09,0.0386029568837928,-40.5027116926275,0.687368654539975,0.932742549745531,28.7364826117104,2.07851705418629,0.0240194290281517,0,1.0,1.4097601798806652e-45,3.5029060965602485e-36,0.0
RZUC10,0.0031573544002725,-61.582073981495,0.870558846519447,-0.243698671975182,0.608106565574841,2.07932869006659,0.0085592638950515,3,0.0,1.2624746323929848e-153,0.0,1.0
RZUC11,0.035118177001119355,-48.35500578502145,0.7313937972700251,0.57058611112501,3.65752011356863,2.07459797374215,0.0532589505993121,1,0.0,0.9999962207967672,0.0,3.7792032326760806e-06
RZUC12,0.034884215403122545,-42.1084599444476,0.595943665039677,0.9194083489693281,23.816704617274752,2.0765480434414947,0.0421822233271595,0,1.0,3.792378258429734e-25,2.4856328698375053e-89,0.0
RZUD01,0.0533932156911331,-46.8229681841341,0.617139993869122,0.7835686519487359,13.289185858644796,2.0792664897064297,0.010113561149687051,1,9.865714986487388e-215,1.0,0.0,0.0
RZUD01M,0.04460650594962305,-47.123128674590504,0.6786890668910495,0.6645534281753676,4.962584466880459,2.0792622332811304,0.01028922769338235,1,0.0,1.0,0.0,9.627981408668844e-29
RZUD02,0.0280352943491686,-43.2369015534447,0.755753400795566,-0.105007162454025,0.80994301933605,2.07207240199156,0.0679628568036181,3,0.0,2.884758921160566e-77,0.0,1.0
RZUD03,0.05980304221587395,-38.2905563081379,0.7062072984680055,0.6831869548596945,5.312892043017856,2.06873608515451,0.0771229293271679,1,0.0,1.0,0.0,8.162717056612145e-32
RZUD04,0.0485707860313775,-45.3266736766698,0.664949753573159,0.839633467642109,11.471430108226,2.07714935503641,0.0378280898167174,1,3.8181538566584074e-28,1.0,0.0,0.0
RZUD05,0.03470764750613805,-32.20265060350735,0.746387512076763,0.6557437471539225,4.810764283232466,2.066738281158975,0.0862291723715425,1,0.0,1.0,0.0,7.699788300963012e-26
RZUD06,0.0529984416337211,-37.43840598328475,0.743420198923848,0.833286420422567,10.996660572619149,2.06969498658607,0.07753355220549821,1,9.34067889188223e-41,1.0,0.0,0.0
RZUD07,0.0409193955891463,-39.8342576830179,0.655876124718298,0.903403421548774,19.7046671017426,2.07467296054379,0.0547845843292658,0,0.9999999999993534,6.470759567597406e-13,3.698566248621649e-246,0.0
RZUD08,0.03863232629204485,-37.94205588422495,0.707534886241854,0.8139831195401099,9.752093983395454,2.05248006092955,0.1247462512627315,1,2.2835245534300776e-64,1.0,0.0,3.844221472104649e-266
RZUD09,0.0291798542117215,-40.1559021304259,0.677078571561343,0.920126242992131,24.0395132884881,2.07752775176204,0.0341464151969511,0,1.0,4.2863946464862754e-26,2.075382761790665e-90,0.0
RZUD10,0.0660416499664809,-36.0575090153431,0.723051972130276,0.532587191947646,3.27887290537401,2.04819420785069,0.13205557118808,1,0.0,0.9988043827070526,0.0,0.0011956172929468891
RZUD11,0.064606693343492,-41.0329949747824,0.7011032053317294,0.812480242793994,9.666795194826864,2.07415512619162,0.05639453963005295,1,2.8199211695968125e-79,1.0,0.0,6.015303302224003e-242
RZUD12,0.0305138413076853,-44.4848962956266,0.687175592368379,0.77391986723957,7.84642084901523,2.07852253894297,0.023439095229713,1,1.247882680964341e-176,1.0,0.0,3.4962273081324335e-142
RZUD13,0.0169531861524929,-47.3897595426595,0.80116710050335,0.223038827825757,1.57413120710165,2.07842657601801,0.0249275110220544,3,0.0,6.048482944115698e-29,0.0,1.0
RZUE01,0.0790662776977133,-48.569741751574,0.548719545151294,0.946602955921263,36.4552568312748,2.0542715314401,0.125895344230915,2,9.084967135424027e-32,7.703040712366952e-97,1.0,0.0
RZUE02,0.0028631917658013,-54.6086545879147,0.786793310381305,0.0315724522615509,1.06520354018281,2.07944123308687,0.0003837902668617,3,0.0,1.169196408174827e-62,0.0,1.0
RZUE03,0.060998983221229555,-38.10880669266835,0.682485203264285,0.44914993731652597,2.630809791259865,2.008839260013805,0.2073184118560385,3,0.0,1.4498935154488756e-07,0.0,0.9999998550106487
RZUE04,0.06254228182147065,-38.7645145428153,0.6134883201546265,0.9624546761007885,52.27061318963785,2.07749836988481,0.0352142601757629,2,2.625888739501465e-87,3.116401961857693e-259,1.0,0.0
RZUE05,0.0657184154646228,-39.7073479690557,0.677124511308402,0.481774620584514,2.85932468659839,2.00717551278015,0.207134267257435,3,0.0,4.136904892339636e-09,0.0,0.999999995863095
RZUE06,0.0432795512571149,-44.863826903768995,0.700392973084,0.2828918919276505,1.789025012146195,2.022684256354725,0.18112113081348902,3,0.0,3.55918819060361e-15,0.0,0.9999999999999964
RZUE07,0.05321841195197305,-44.7588624057606,0.6776472533730049,0.2532213760900125,1.68051183139198,2.035647110480375,0.162452096938435,3,0.0,4.025749476655828e-14,0.0,0.99999999999996
RZUE08,0.0739267879114728,-44.2274058602663,0.714147804487753,0.491754954823132,2.93510968573044,2.04985571549924,0.133561542031346,3,0.0,0.23291221540165596,0.0,0.7670877845983439
RZUE09,0.0505210599725858,-40.9358733380891,0.678304859058999,0.951741623087033,40.4435819838485,2.07249332394394,0.0654569792061863,2,2.4571437573638875e-24,3.5579989569010995e-139,1.0,0.0
RZUE10,0.03711862931523,-39.4930871708804,0.545034313264678,0.953798008210039,42.288177035575,2.07864275331896,0.0217736906228705,2,1.3879329298655644e-22,5.2571954318385495e-142,1.0,0.0
RZUE11,0.04783648600089205,-38.2108486665469,0.6930644971605875,0.554068603739353,3.48509234123044,2.049668054550765,0.1311595452094075,1,0.0,0.9999877718311869,0.0,1.2228168813319122e-05
RZUE12,0.0409910064094379,-44.6147593879276,0.685522244681087,0.732331432461714,6.47192701180325,2.07195258913517,0.0678326693432609,1,0.0,1.0,0.0,3.471686903708261e-74
RZUE13,0.0321085689729413,-48.0414858157342,0.696627819512609,0.263328687171044,1.71491500370718,2.05514354728069,0.116590771279646,3,0.0,1.8587942353084e-18,0.0,1.0
RZUF02,0.046537448604405,-39.43988841729875,0.681965419981839,0.888954938730014,17.01116756250375,2.05247778244436,0.1292973336357555,0,0.9999930642054204,6.935794580004368e-06,0.0,0.0
