site,EPS,BGNf,Hf,NDSI,rBA,ADI,AEI,pred,component1_prob,component2_prob,component3_prob
RZUA01,0.0485587952619762,-45.4710779421554,0.711557380669976,0.750643491792349,7.02064487658971,2.0776730968393,0.0326486672748911,0,1.0,0.0,1.4857158959612245e-171
RZUA02,0.0252674544525733,-53.1362846802435,0.839792372511044,0.469892340012045,2.7728185252887,2.07837385778236,0.0255937367663794,0,1.0,0.0,0.0
RZUA03b,0.0526831362182522,-34.5345636969504,0.767569120994728,0.807440376288124,9.3863933749298,2.06916767770376,0.0805842897872651,0,1.0,0.0,3.416968895562612e-48
RZUA04,0.00786663167032205,-46.1600621199735,0.6970566010265395,-0.0332310982959894,0.9403701578342429,2.0527420589707353,0.128506284786408,0,1.0,0.0,0.0
RZUA05,0.0482186899920324,-49.3324748070093,0.757914564700203,0.767797648836127,7.61317721364731,2.07854822459642,0.0234267136212465,0,1.0,0.0,1.9704442387951962e-137
RZUA06,0.026734456903177703,-46.4648664417008,0.711406716169335,0.7804007650186745,8.137123644087724,2.0773652650533547,0.03630495315959,0,1.0,0.0,4.131236245086253e-111
RZUA07,0.0795553836716654,-51.75661981654025,0.6978600962082,0.261823287046836,1.709527560028325,2.0724016707686603,0.0663183729667023,0,1.0,0.0,0.0
RZUA08,0.0152363732221814,-47.5073746375723,0.782370443051565,0.342172727893014,2.04031177301924,2.07941677913727,0.00379040587048,0,1.0,0.0,0.0
RZUA09,0.04820461671345015,-41.8125357310107,0.725529248360335,0.7561239069595185,7.202175601499841,2.07660196829737,0.041559427517007,0,1.0,0.0,3.421621333797471e-150
RZUA10,0.0430974634483947,-44.3252214890983,0.611753291875062,0.836734321488714,11.2499720592638,2.07685434299047,0.0402390912619097,0,1.0,0.0,1.5209663244074463e-20
RZUB01,0.03897525984338415,-43.59744142625935,0.6673633652995125,0.8345314071110095,11.09599182840175,2.079165158650465,0.01296419784358925,0,1.0,0.0,1.3346474055366398e-18
RZUB03,0.02558069493304995,-46.6820234561079,0.745794741303828,0.6990276434017619,5.64514841871003,2.07883178434091,0.01928144493024255,0,1.0,0.0,0.0
RZUB04,0.0233178581385449,-42.2227590469342,0.7497973135173734,0.7559127631987255,7.2052923350828895,2.0752698832514653,0.0512375130711812,0,1.0,0.0,7.271604527905354e-162
RZUB05,0.0314003599112773,-43.4440923259666,0.569854435409913,0.921945760043832,24.6232076710133,2.07745081299385,0.0351443825672348,2,1.7109516603784338e-36,3.320967754056893e-145,1.0
RZUB06,0.20016069345587,-47.8870784500665,0.726836572732316,0.695253308856645,5.56282761429291,2.07537362739169,0.0504923038915228,0,1.0,0.0,0.0
RZUB07,0.0374122194219482,-35.9133201763454,0.772744897380926,0.204429612087191,1.51391961086816,2.07592761111611,0.0472620786738103,0,1.0,0.0,0.0
RZUB08,0.0618091995897385,-42.867967176559446,0.73827838473317,0.793539760373472,8.68709652096955,2.0757117511931353,0.048660546298751606,0,1.0,0.0,1.727622664032908e-70
RZUB09,0.0594945513570683,-41.7849261570904,0.73056394842379,0.881855695335976,15.9284503869023,2.07677223931095,0.0410806528347714,2,3.868185108257825e-12,0.0,0.9999999999961311
RZUB10,0.0139749675721062,-49.3834364481572,0.887184822067421,0.259943624383384,1.7024968176696,2.07889726252117,0.0186042981344352,0,1.0,0.0,0.0
RZUB11,0.0471775490709603,-47.8501695106511,0.677747406274991,0.59946266485041,3.99329232130896,2.06981198759621,0.0770108226028074,0,1.0,0.0,0.0
RZUC01,0.054862035143304747,-45.391206281138196,0.775345997197648,0.32080263604668646,1.94468974881515,2.0788274448968,0.019458708429331402,0,1.0,0.0,0.0
RZUC03,0.044526136849010245,-48.9426610219472,0.736714942532156,0.302822271964933,1.869104644658865,2.07329363810351,0.06218235063553615,0,1.0,0.0,0.0
RZUC05,0.0765495444319928,-44.6962581869964,0.645900866424729,0.884246368768509,16.278075674363,2.07794351469915,0.0307262196952684,2,2.2094532555847814e-11,0.0,0.9999999999779057
RZUC06,0.0286383076964306,-41.7458971307213,0.525712834969714,0.8928317030295589,17.666855010389448,2.0785364353754954,0.02291747555891335,2,4.971640407786957e-15,0.0,0.9999999999999956
RZUC07,0.0128642586163723,-42.3823741717404,0.655037871310536,0.663157552439254,4.93749396634259,2.07876611547971,0.020732858664245,0,1.0,0.0,0.0
RZUC08,0.0384782546971052,-47.4831289629801,0.781520122321921,0.161229251538793,1.38444176036082,2.07845459821107,0.0241782092042153,0,1.0,0.0,0.0
RZUC09,0.0386530310393675,-43.509319766873645,0.5964798392610284,0.92201062443918,24.6697243683575,2.07833822049145,0.02651670433098785,2,3.5393890429282227e-37,6.993208549155541e-148,1.0
RZUC10,0.003109849042826,-61.61781101437295,0.871502891409246,-0.248067865045367,0.6024770583741785,2.079338807088635,0.0081657600879598,0,1.0,0.0,0.0
RZUC11,0.0569030621281307,-47.8787947558464,0.676636070019731,0.838184472677065,11.3597533134667,2.06447797909997,0.096305728069888,0,1.0,0.0,4.745653060946159e-33
RZUC12,0.0190033599150516,-47.0557176655266,0.656212020819293,0.7469921370926365,6.9049041819709,2.0787042309876202,0.0212446982814719,0,1.0,0.0,5.623717928783151e-194
RZUD01M,0.0558694923977792,-49.1343177404096,0.71253368125724,0.52487014849546,3.20937559209725,2.07909715592315,0.0137863050913995,0,1.0,0.0,0.0
RZUD02,0.044108613175597,-45.80579436148,0.803993921017708,0.0173827445040176,1.03538049918581,2.07936579232605,0.0068267463881537,0,1.0,0.0,0.0
RZUD03,0.03860532160556545,-42.487604949236754,0.7173016726146224,0.5615299586379745,3.567849914712865,2.0716508847953348,0.070513336651593,0,1.0,0.0,0.0
RZUD04,0.027961299379172348,-47.282068192295554,0.6938022081821851,0.6522765249224625,4.751698052772785,2.078240658820135,0.0266286308598969,0,1.0,0.0,0.0
RZUD05,0.0313976155066463,-32.4376917716804,0.770558931803804,0.528072504200546,3.2379391279416,2.07513663131846,0.0524159429463444,0,1.0,0.0,0.0
RZUD06,0.0349858505239942,-35.63193688823645,0.7595736739434985,0.6367945571679006,4.50660911127899,2.07619827926061,0.04454893732124485,0,1.0,0.0,0.0
RZUD07,0.027845545239998902,-40.68690966799855,0.5341516105033934,0.9562622908177095,44.83329083667775,2.073347509151435,0.0613054280381268,1,1.667965766701989e-164,0.9999999999908002,9.200395046796179e-12
RZUD08,0.0299807099556535,-39.571284113231,0.762048025160943,0.599587542266722,3.99484958915099,2.04404446283773,0.149294251657374,0,1.0,0.0,0.0
RZUD09,0.021585196021365,-40.408661154262205,0.6277813214748305,0.9446930802429575,35.186364410760746,2.077377126426245,0.0359403266473589,2,2.717027165208915e-93,2.171227628394641e-20,1.0
RZUD10,0.0606544993528586,-37.6643430624938,0.747379234930015,0.648295479829355,4.68659168505884,2.07299764196572,0.0640037738539032,0,1.0,0.0,0.0
RZUD11,0.045168734079117645,-43.351402905034,0.7396198565488126,0.7665246741329275,7.566295266166355,2.0717250041562396,0.0679640520895968,0,1.0,0.0,5.324108964608116e-134
RZUD12,0.016967657420038598,-48.053594772910856,0.784939075871988,0.49117426353039695,2.932342096802465,2.07888608485103,0.0183318845961876,0,1.0,0.0,0.0
RZUD13,0.0102103752712319,-50.577681656703,0.878116251538349,0.109604232646062,1.24619216906608,2.07940290300264,0.0048144170673438,0,1.0,0.0,0.0
RZUE01,0.0870877300858825,-47.129381243414,0.5465608338808761,0.9520687481102215,41.276178391200105,2.03085207206737,0.170080444472052,1,4.1225897934158725e-129,1.0,1.301128810338891e-84
RZUE02,0.0028499448713237997,-53.535450079653145,0.7442471452447794,-0.0093560589598566,0.9842206435608791,2.079441136974285,0.00046809646528204996,0,1.0,0.0,0.0
RZUE03,0.0747331844815792,-45.1991059713403,0.732160407726039,0.621077550512527,4.27812485827953,2.07522998740592,0.0495909590974177,0,1.0,0.0,0.0
RZUE04,0.061513841806513106,-41.4033005919658,0.581785280641931,0.9103373590326276,21.310180336509802,2.07559391515423,0.0464437199361679,2,1.9582245792978933e-25,6.63114107913274e-240,1.0
RZUE05,0.0978611629101486,-36.081790851902696,0.704340700496472,0.5507816556449725,3.45227355651348,2.04693731286502,0.1424418268208785,0,1.0,0.0,0.0
RZUE06,0.0551216727099775,-45.0152073597376,0.739640668157021,0.530216639452531,3.25728147899762,2.07729585043823,0.0367862694369985,0,1.0,0.0,0.0
RZUE07,0.0553678335441806,-45.3499867758312,0.744684370071402,0.779359682341626,8.0645264710717,2.07935252525713,0.0075462008978128,0,1.0,0.0,3.160186882325788e-95
RZUE08,0.08029058510548764,-46.19284510026475,0.76551473930231,0.7137709082005075,5.987410361786825,2.0786428769959002,0.022485095264862198,0,1.0,0.0,6.36873103842146e-275
RZUE09,0.0471946874961566,-41.1967871110657,0.6953772303969254,0.9612810939808776,50.65789339035125,2.077022387498305,0.0393079141479572,1,3.7622736945061404e-231,1.0,1.4900608271232422e-26
RZUE10,0.0359958516813486,-40.9835448858589,0.478931358392127,0.956368968564721,44.8389346803941,2.07864734743895,0.0222386846432585,1,1.0280693718555894e-164,0.9999999999816929,1.8308088907160513e-11
RZUE11,0.04776174115228015,-44.488281163493994,0.722871472939565,0.5435975682451645,3.38357951399764,2.07755462763187,0.03465950559023555,0,1.0,0.0,0.0
RZUE12,0.0343149007656468,-47.35575016841395,0.7366790121465575,0.3605283733539115,2.1297584502546902,2.076991052308025,0.0391151086458612,0,1.0,0.0,0.0
RZUE13,0.0386979870133946,-49.4790472919046,0.7777078288540336,0.6069274150339996,4.088145730440135,2.078908964017765,0.01779616868752355,0,1.0,0.0,0.0
RZUF02,0.0459921270181072,-40.3422725949714,0.66279337882584,0.929482970423252,27.3619433774261,2.06949066694142,0.0796991272393199,2,2.040488328543549e-49,1.7852612475547873e-62,1.0
RZUF03,0.0610209920435315,-46.8415738356045,0.795628353904713,0.433733224517666,2.53190419532639,2.07926114573964,0.0104709573068185,0,1.0,0.0,0.0
RZUF05,0.02797764127742405,-50.63280185095595,0.728966564926247,0.24089188715867849,1.634813843503795,2.0792394326490697,0.01128662621356935,0,1.0,0.0,0.0
RZUF06,0.0087435293180857,-50.1327297094905,0.839574068513259,0.400026904805425,2.33348281117737,2.07939428329634,0.0049976421432156,0,1.0,0.0,0.0
RZUF07,0.03634685694892725,-45.48337698388215,0.5308133438371885,0.9205789526606675,24.26720129800495,2.078927082176445,0.0181155725295002,2,6.595899490436018e-35,5.7787340294073896e-173,1.0
RZUF08,0.0364772328898116,-51.9303004987253,0.856932313976016,0.166493817820682,1.39950229855611,2.07935012235122,0.0074685117689805,0,1.0,0.0,0.0
RZUF09,0.0231579057017209,-42.9054524508443,0.584759010528641,0.930783477868091,27.8948351982856,2.07845905696453,0.024973947448899,2,5.127252384102823e-51,9.015057426891332e-84,1.0
RZUF10,0.044006628606120105,-47.2867993763915,0.7680080389870796,0.5564945233515131,3.50959425183962,2.07862930208291,0.022514969870884298,0,1.0,0.0,0.0
RZUF11,0.0765110247754013,-50.0115365603888,0.779782557598884,0.268283898664437,1.73330051962709,2.07906966424725,0.0154383672873046,0,1.0,0.0,0.0
RZUF12,0.0378020684829984,-47.3429420451049,0.772630135640755,0.706378473926424,5.81148969813213,2.07903243402908,0.0160660534707318,0,1.0,0.0,1.517547e-318
RZUF13,0.0479260355267228,-45.8548360800663,0.708200538474566,0.57992783056082,3.76108665487198,2.0775772778973,0.0329335529476285,0,1.0,0.0,0.0
RZUG02,0.0512912245268858,-44.395838066413646,0.5204136577501015,0.9168037977858521,23.04885695181055,2.077609979570875,0.03311606506724455,2,5.134320249122385e-31,1.6698243305048042e-196,1.0
RZUG03,0.05440299750347245,-43.453175114175195,0.6032301185371255,0.919291135465493,23.7869473856087,2.078397225763015,0.02533530597162005,2,1.2067391463722926e-33,8.125386563552765e-170,1.0
