,site,20_5_component1_prob,20_5_component2_prob,20_5_component3_prob,20_5_component4_prob,20_5_component5_prob,17_20_component1_prob,17_20_component2_prob,17_20_component3_prob,17_20_component4_prob,8_17_component1_prob,8_17_component2_prob,8_17_component3_prob,5_8_component1_prob,5_8_component2_prob,5_8_component3_prob,XCOORD.y_x,YCOORD.y_x
26,RZUC10,0.0,1.0,0.0,0.0,0.0,0.0,1.2624746323929848e-153,0.0,1.0,1.435602313850982e-06,0.0,0.999998564397686,1.0,0.0,0.0,4955101.251,1947342.623
27,RZUC11,5.448301596527229e-128,1.0,0.0,0.0,0.0,0.0,0.9999962207967672,0.0,3.779203232676081e-06,0.0004853137720239,0.0,0.9995146862279768,1.0,0.0,0.0,4955101.251,1946942.623
28,RZUC12,1.0,0.0,0.0,0.0,0.0,1.0,3.7923782584297337e-25,2.4856328698375053e-89,0.0,3.157203556671584e-203,0.0,1.0,1.0,0.0,0.0,4955101.251,1946542.623
30,RZUD01M,5.877909401692924e-19,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9.627981408668843e-29,2.6170653988128944e-31,0.0,1.0,1.0,0.0,0.0,4955501.251,1950942.623
31,RZUD03,2.432866933243969e-84,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.162717056612143e-32,2.9324160519357885e-29,0.0,1.0,1.0,0.0,0.0,4955501.251,1950142.623
32,RZUD04,1.541081071e-314,1.0,0.0,0.0,0.0,3.818153856658408e-28,1.0,0.0,0.0,3.772865456907921e-242,0.0,1.0,1.0,0.0,0.0,4955501.251,1949742.623
33,RZUD05,0.7517650874623616,0.2482349125376381,0.0,0.0,0.0,0.0,1.0,0.0,7.699788300963012e-26,0.0006543066022011,0.0,0.9993456933977984,1.0,0.0,0.0,4955501.251,1949342.623
34,RZUD06,1.0,3.244548149003997e-30,0.0,0.0,0.0,9.34067889188223e-41,1.0,0.0,0.0,0.0010128507798944,0.0,0.9989871492201052,1.0,0.0,0.0,4955501.251,1948942.623
35,RZUD07,0.0,1.0,0.0,0.0,0.0,0.9999999999993534,6.470759567597408e-13,3.698566248621649e-246,0.0,0.0,0.9999999999999928,7.94511536374865e-15,0.0,0.9999999999908002,9.200395046707336e-12,4955501.251,1948542.623
36,RZUD08,3.319234100913685e-13,0.9999999999996696,0.0,0.0,0.0,2.2835245534300776e-64,1.0,0.0,3.844221472104649e-266,2.136617758457655e-09,0.0,0.999999997863382,1.0,0.0,0.0,4955501.251,1948142.623
37,RZUD09,3.6409285376988462e-53,1.0,0.0,0.0,0.0,1.0,4.286394646486275e-26,2.075382761790665e-90,0.0,0.0,0.0,1.0,0.0,2.17122762840794e-20,1.0,4955501.251,1947742.623
38,RZUD10,0.967175370635234,0.0328246293647667,0.0,0.0,0.0,0.0,0.9988043827070526,0.0,0.0011956172929468,1.0,0.0,3.2451956941394767e-21,1.0,0.0,0.0,4955501.251,1947342.623
39,RZUD11,2.476552081536441e-31,1.0,0.0,0.0,0.0,2.8199211695968125e-79,1.0,0.0,6.015303302224003e-242,1.9562685636812462e-11,0.0,0.999999999980437,1.0,0.0,0.0,4955501.251,1946942.623
40,RZUD12,1.0,0.0,0.0,0.0,0.0,1.2478826809643407e-176,1.0,0.0,3.4962273081324335e-142,2.824441395045341e-16,0.0,1.0,1.0,0.0,0.0,4955501.251,1946542.623
41,RZUD13,0.0,1.0,0.0,0.0,0.0,0.0,6.048482944115696e-29,0.0,1.0,8.369245769412826e-07,0.0,0.9999991630754236,1.0,0.0,0.0,4955501.251,1946142.623
42,RZUE02,0.0,1.0,0.0,0.0,0.0,0.0,1.169196408174827e-62,0.0,1.0,4.297254827320339e-05,0.0,0.999957027451727,1.0,0.0,0.0,4955901.251,1950542.623
43,RZUE03,0.0,1.0,0.0,0.0,0.0,0.0,1.4498935154488756e-07,0.0,0.9999998550106488,1.0,0.0,8.556512365181712e-114,1.0,0.0,0.0,4955901.251,1950142.623
44,RZUE04,1.0,0.0,0.0,0.0,0.0,2.625888739501465e-87,3.116401961857693e-259,1.0,0.0,0.0,1.0,1.596071607593431e-50,0.0,6.631141079070923e-240,1.0,4955901.251,1949742.623
45,RZUE05,9.094380370105148e-104,1.0,0.0,0.0,0.0,0.0,4.136904892339636e-09,0.0,0.999999995863095,1.0,0.0,0.0,1.0,0.0,0.0,4955901.251,1949342.623
46,RZUE06,3.423653328010451e-179,1.0,0.0,0.0,0.0,0.0,3.55918819060361e-15,0.0,0.9999999999999964,1.0,0.0,6.829225434206646e-101,1.0,0.0,0.0,4955901.251,1948942.623
47,RZUE07,0.0,1.0,0.0,0.0,0.0,0.0,4.025749476655828e-14,0.0,0.99999999999996,1.0,0.0,0.0,1.0,0.0,0.0,4955901.251,1948542.623
48,RZUE08,1.4098274380789562e-187,1.0,0.0,0.0,0.0,0.0,0.2329122154016559,0.0,0.7670877845983439,1.0,0.0,0.0,1.0,0.0,0.0,4955901.251,1948142.623
49,RZUE09,1.0,0.0,0.0,0.0,0.0,2.4571437573638875e-24,3.5579989569010995e-139,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.4900608273004348e-26,4955901.251,1947742.623
50,RZUE10,3.056288491150133e-28,1.0,0.0,0.0,0.0,1.3879329298655644e-22,5.2571954318385495e-142,1.0,0.0,0.0,1.0,5.3812106344990696e-46,0.0,0.9999999999816928,1.830808890721704e-11,4955901.251,1947342.623
51,RZUE11,0.9882724110536122,0.0117275889463871,0.0,0.0,0.0,0.0,0.9999877718311868,0.0,1.2228168813319122e-05,1.0,0.0,4.498060107056077e-237,1.0,0.0,0.0,4955901.251,1946942.623
