site,BGNf,Hf,NDSI,rBA,ADI,pred,component1_prob,component2_prob,component3_prob
RZUD01,0.4484744923816546,0.4121905482174719,0.831603911765004,0.1131986647845311,0.9996462386118461,2,0.0,3.582241308416393e-36,1.0
RZUD01M,0.4320462803291405,0.6197349821172595,0.7127518929731433,0.06027176649644407,0.9996719203862012,2,5.834241982565618e-114,0.10479183731046038,0.8952081626895395
RZUD02,0.5656718957561351,0.6729233946590356,0.3307608558083653,0.012613924032322876,0.942603405936917,1,9.786610010516113e-24,1.0,3.892589545074574e-46
RZUD03,0.6555020645343212,0.532644950278363,0.7137138318336941,0.06053880862088164,0.9926822242776803,1,5.39182771438419e-138,0.9979353723195673,0.0020646276804326654
RZUD04,0.4660339027228453,0.528267113360906,0.8446451185908224,0.12321732435166241,0.9898675502949024,2,0.0,1.963574449492534e-48,1.0
RZUD05,0.8998727362164477,0.7123941568756913,0.5460761119359725,0.030157934828003462,0.9881630766974334,1,5.683250434118502e-17,1.0,6.239752769587207e-28
RZUD06,0.8829583823627072,0.6728680555252631,0.65040181999678,0.04588227966994276,0.9206320171628333,1,7.141042213508753e-61,1.0,2.183621771330029e-28
RZUD07,0.6149050175517903,0.09840053860369147,0.9822150974852215,0.5880588189401503,0.9933567316715175,2,0.0,0.0,1.0
RZUD08,0.6395842657895636,0.6488450890060775,0.6511905129310198,0.046034444959026546,0.9650665627400334,1,8.549709826205382e-50,0.9999999997726459,2.2735413415668268e-10
RZUD09,0.6056700101979888,0.37949813833696955,0.9429643644341799,0.2993989245865608,0.9963177224006357,2,0.0,0.0,1.0
RZUD10,0.9282641650628946,0.6613499858652865,0.24872024423075179,0.008485551501143905,0.8818508939898981,1,7.416123923299197e-07,0.9999992583876077,1.3350749806081462e-106
RZUD11,0.6127245462916251,0.7468329404848557,0.6545442828404586,0.04668870510242599,0.9930007026716998,1,3.612654551787827e-50,0.999999167433778,8.325662222285968e-07
RZUD12,0.41560268440555315,0.8778627737573281,0.6658126989946095,0.048976377961584786,0.9996245026539716,1,2.2006948295621155e-53,0.9965674293339585,0.0034325706660411934
RZUD13,0.4342796257325898,0.9435153515340462,0.49792465958366056,0.024993815252139683,0.9995859848527191,1,8.86293595619053e-37,0.9999999999996758,3.2406107465905957e-13
RZUE01,0.4048083605756627,0.48303645182520394,0.9721074983389899,0.4746551732988889,0.9039874878828256,2,0.0,0.0,1.0
RZUE02,0.2501695175564518,0.7706255855257134,0.4794788811325491,0.023256381971815666,1.0000000000000009,1,2.341780252072021e-45,0.9999999999994138,5.865645272230022e-13
RZUE03,0.73146349250175,0.7088033748295013,0.2757165098562572,0.009743914762698022,0.7565686245843688,1,2.9840223888491055e-09,0.9999999970159781,8.518691493117691e-139
RZUE04,0.6137263053563655,0.13882471348268477,0.9999999999999998,1.0,0.9948603506435196,2,0.0,0.0,1.0
RZUE05,0.7979466020014241,0.5225295079546968,0.2193160880550001,0.007209430220937659,0.33350410090703697,0,0.9999999999999023,9.740301231957804e-14,0.0
RZUE06,0.535868993546704,0.5767701380678971,0.0,0.0,0.7858314345036552,1,4.784287542837963e-06,0.9999952157124571,1.7363615195475612e-175
RZUE07,0.5140820073560382,0.36597185244453834,0.14146739208362308,0.004241155201564234,0.020907028818714757,0,1.0,3.125600043896186e-40,0.0
RZUE08,0.5705175301704888,0.5917328892575149,0.11242858220272128,0.00326355686420727,0.09116861940164789,0,1.0,4.201316516634092e-33,0.0
RZUE09,0.7473962589415273,0.5229114479542045,0.9579394075405883,0.37055403615452154,0.9499913695007622,2,0.0,0.0,1.0
RZUE10,0.6561183020591985,0.0,0.998633115390128,0.9497380424077531,0.9971676680844075,2,0.0,0.0,1.0
RZUE11,0.7610311211014431,0.5537669985346063,0.242843917847377,0.00822280159934537,0.6739017735750545,1,0.0042612401478929795,0.9957387598521068,1.5036032812516693e-207
RZUE12,0.4628026408885828,0.7019392536575155,0.7730655224533289,0.08092748476169319,0.9851204384773942,2,0.0,3.643988939568349e-10,0.9999999996356008
RZUE13,0.39353661575609444,0.6413168381315613,0.235270611366226,0.007889516339177654,0.9702004785377278,1,9.541934159812315e-35,1.0,2.532568355351051e-48
RZUF02,0.588965441006629,0.5883332161693322,0.8751799156180549,0.15342936516814362,0.99156936080671,2,0.0,5.27866237978498e-97,1.0
RZUF03,0.49895520356620304,0.7459339884677545,0.24780244430416057,0.008443482009672446,0.9868590751626547,1,4.5096281944326567e-32,1.0,3.8589633437937e-47
RZUF04,0.3360774642801707,0.9309786359145023,0.5465054984337564,0.030208645934372384,0.9995584517560134,1,2.1231269182981382e-38,0.9999999948956129,5.10438765692606e-09
RZUF05,0.34444691359328816,0.6472645330622928,0.5135702600075743,0.026565463910289137,0.9991240024527643,1,1.3289442207311232e-30,0.9999999999655147,3.448584101514176e-11
RZUF06,0.3523829435184609,1.0000000000000002,0.46355809938997344,0.02184832478892211,0.9996467716239499,1,1.4115158521365803e-49,0.9999999999999867,1.3200793691488087e-14
RZUF07,0.44624270834776225,0.3420862173084813,0.91950107788855,0.22801732650197654,0.9994285986163982,2,0.0,2.0574230108157416e-294,1.0
RZUF08,0.4055791963675772,0.45077447525054026,0.00043880893373432484,1.1347262663904175e-05,0.026300660988687774,0,1.0,3.506543520650986e-41,0.0
RZUF09,0.5493478951673247,0.4698850973336788,0.9560030654514549,0.35965246949584084,0.9968669214849362,2,0.0,0.0,1.0
RZUF10,0.5353946449958786,0.6756382925420388,0.14587360846207403,0.0043951331430503926,0.9121002420002879,1,4.098123230314912e-20,1.0,4.324466849507716e-85
RZUF11,0.6452483859809668,0.5683326765473347,0.047528578598278526,0.0012882133588771648,0.3985513189476775,0,0.9999999999950786,4.921804132130927e-12,0.0
RZUF12,0.48559454128873125,0.7275165236880832,0.8097105912215206,0.09908942928754083,0.9992551802121268,2,0.0,4.0266554597771226e-23,1.0
RZUF13,0.5458389371628778,0.6585228796605582,0.8001082752258395,0.0937619597670854,0.9985323825899544,2,0.0,2.7865941877462547e-18,1.0
RZUG02,0.4570932119580089,0.5187958539852744,0.8832724831027812,0.16359492128157305,0.9988915019694824,2,0.0,5.058358291836043e-117,1.0
RZUG03,0.5533993874050043,0.593365356642207,0.9432002285135672,0.30032142962156366,0.9978930311629233,2,0.0,0.0,1.0
RZUG04,0.5211796594647995,0.6798114805506987,0.3597239820716023,0.014319284305328469,0.7586932418647789,1,1.1686517192087376e-16,1.0,2.4300649956487715e-103
RZUG05,0.40272686322873597,0.8425419473720968,0.5026557149605932,0.025459154695683158,0.9312486497191967,1,8.900529577385849e-31,1.0,4.672694044576002e-19
RZUG06,0.5926508450495769,0.7358452173219348,0.5367307666281235,0.029076263290133436,0.9999535815032816,1,7.99919845503531e-21,0.9999999999999787,2.1493932677634342e-14
RZUG07,0.45634601250156304,0.7544271465224535,0.4271468780530734,0.018909218841172797,0.9958080834379759,1,4.8245773030306064e-33,1.0,4.740924252127597e-21
RZUG08,0.48795281246789135,0.43833895418273006,0.015611772041720984,0.00040976817090529385,0.2463950220893345,0,1.0,4.244720470708856e-23,0.0
RZUG09,0.5110069092604379,0.6209502821434627,0.20247451631004082,0.00651951937220385,0.9476369142020493,1,1.155516949417529e-23,1.0,2.384258983831235e-64
RZUG10,0.5348991699131525,0.7055776623424674,0.5328537316588968,0.02863953690248535,0.9992981841933544,1,3.2681137492867698e-22,0.9999999999997042,2.961032726589881e-13
RZUG11,0.7016564860060763,0.5709469403536285,0.46409020038214616,0.02189409613782036,0.9271862844220928,1,4.58907395302306e-13,0.9999999999995408,5.592684852499959e-39
RZUG12,0.92721645954377,0.6130560407595338,0.43067704638277327,0.019178448606358523,0.7653695608988693,1,4.466339052763854e-06,0.9999955336609475,8.051482576514964e-124
RZUG13,0.7558547350601141,0.6663923523842405,0.962970563308031,0.4023615809801724,0.9958540475498969,2,0.0,0.0,1.0
RZUH02,0.9137133515775738,0.7602178858812565,0.6130113803562872,0.03933727568852551,0.7000619427211676,1,2.52465569136728e-33,1.0,2.2982446751466007e-122
RZUH03,0.39006281690048983,0.5447158942929846,0.48553116167208665,0.02381339517415101,0.9987096776329993,1,5.564228572989307e-27,0.9999999999999583,4.202280417257314e-14
